14:49:42:493 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:494 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:494 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:494 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:497 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:497 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:497 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:498 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:502 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:502 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:502 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:502 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:505 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:505 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:505 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:506 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:42:509 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:49:42:509 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
